symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs
TATASTEEL,Tata Steel Limited,,TATASTEEL.NS,186.1999969482422,2026-08-12,-0.12359361005182468,-0.08639025938385492,0.0497126039546667,0.1902045452639083,-0.018732066053785863,37,False
JPPOWER,Jaiprakash Power Ventures Limited,,JPPOWER.NS,17.729999542236328,2026-08-12,-0.09263056747621279,0.16644735294200697,-0.01554695630689018,-0.06388600621449214,-0.019649348906360192,37,False
BASF,BASF India Limited,,BASF.NS,3992.0,2026-08-12,0.04245148264002774,0.04228927869199817,-0.1065032373839293,-0.12127274402029509,-0.02011674748643415,37,False
INDUSTOWER,Indus Towers Limited,,INDUSTOWER.NS,383.3999938964844,2026-08-12,-0.07513884786820191,-0.13355324075510877,-0.006917056425951418,0.1887914056725688,-0.020391317448979034,36,False
VGUARD,V-Guard Industries Limited,,VGUARD.NS,332.0,2026-08-12,0.04064951059520139,-0.030571937976427876,-0.07080722508550996,-0.08832957038347566,-0.021681942451002148,36,False
CHALET,Chalet Hotels Limited,,CHALET.NS,823.0,2026-08-12,0.04887526208206694,-0.06726353173696786,-0.07823260065622795,-0.06090867525687571,-0.02173085669718753,36,False
GRSE,Garden Reach Shipbuilders & Engineers Limited,,GRSE.NS,2576.39990234375,2026-08-12,-0.04076845898257375,0.02425061714567245,-0.07263355526819582,0.018607438226328155,-0.022262483572268545,36,False
JINDALSTEL,JINDAL STEEL LIMITED,,JINDALSTEL.NS,1112.0,2026-08-12,-0.09740259740259738,-0.06664430316183001,0.029439039312699533,0.11476336666098441,-0.023449418398668164,36,False
DEEPAKNTR,Deepak Nitrite Limited,,DEEPAKNTR.NS,1718.4000244140625,2026-08-12,-0.05483547430737157,0.02875359972662328,0.002933179575922207,-0.04758698154296892,-0.025114230171033314,36,False
FORCEMOT,FORCE MOTORS LTD,,FORCEMOT.NS,19269.0,2026-08-12,-0.05339948909412462,-0.18431189942005677,0.09763600113927651,0.06723079507641039,-0.025248816278523822,36,False
HDBFS,HDB Financial Services Limited,,HDBFS.NS,688.75,2026-08-12,0.023360074929551722,-0.04491582345676337,-0.0562042272457165,-0.07858862177206394,-0.026597704523088076,36,False
REFEX,Refex Industries Limited,,REFEX.NS,293.79998779296875,2026-08-12,0.0609758973659309,0.22936015409847132,-0.17968522402253773,-0.3059839972963818,-0.026871454497717287,36,False
TATAPOWER,Tata Power Company Limited,,TATAPOWER.NS,379.45001220703125,2026-08-12,-0.06191327225796872,0.03203479918893537,-0.03488041664218389,-0.009722920654500422,-0.02727901652473728,36,False
IDBI,IDBI Bank Limited,,IDBI.NS,82.45999908447266,2026-08-12,0.17163970307583432,-0.23676417636329705,-0.16546907072258188,-0.07855625150420309,-0.027502018487682682,35,False
SILVERTUC,Silver Touch Technologies Limited,,SILVERTUC.NS,205.8800048828125,2026-08-12,0.3901417717627311,0.5524054626973103,-0.7507505994154813,-0.7254194752087861,-0.028696213680298982,35,False
BEL,Bharat Electronics Limited,,BEL.NS,405.1499938964844,2026-08-12,-0.0423698670659739,-0.06831199470965599,-0.04650796002645596,0.053184573284672076,-0.02927502311667754,35,False
BANKBARODA,Bank of Baroda,,BANKBARODA.NS,251.0,2026-08-12,-0.008728556973592427,-0.10756552959531807,-0.09351637067442187,0.07051579035807065,-0.029604644771770834,35,False
KOTAKBANK,Kotak Mahindra Bank Limited,,KOTAKBANK.NS,390.5,2026-08-12,0.010655401834105405,-0.08880922437329708,-0.06278652298003018,-0.018186399585173763,-0.029694268654058047,35,False
HIKAL,Hikal Limited,,HIKAL.NS,212.83999633789062,2026-08-12,0.05648758683993482,0.12578335089156334,-0.08261958887608967,-0.305346805135003,-0.029841573887931943,35,False
PRINCEPIPE,Prince Pipes And Fittings Limited,,PRINCEPIPE.NS,269.20001220703125,2026-08-12,0.06910249779344468,0.015619160516751718,-0.1399360632363219,-0.1722243982656131,-0.03166726107965878,35,False
SAMHI,Samhi Hotels Limited,,SAMHI.NS,164.50999450683594,2026-08-12,0.12224570991624573,-0.023679557822932074,-0.12382829505863413,-0.2558802553631627,-0.03177933768244749,35,False
ANURAS,Anupam Rasayan India Limited,,ANURAS.NS,1204.4000244140625,2026-08-12,-0.12470928458280339,-0.08702238554195907,0.11394753866632645,0.06067813686839507,-0.03236305583456886,35,False
MOBIKWIK,One Mobikwik Systems Limited,,MOBIKWIK.NS,207.00999450683594,2026-08-12,0.09587083745632996,-0.06957620838749878,-0.16896832824319086,-0.11726579098614232,-0.03281373054083441,35,False
MASTEK,Mastek Limited,,MASTEK.NS,1819.0999755859375,2026-08-12,0.1736885908325898,-0.07008484766795275,-0.17076716435251904,-0.2717478227791488,-0.033044530626888204,34,False
ELLEN,Ellenbarrie Industrial Gases Limited,,ELLEN.NS,323.79998779296875,2026-08-12,0.1757443535553478,0.17170248106192987,-0.28505190515198586,-0.403793035631002,-0.03313075052207249,34,False
ZOTA,Zota Health Care LImited,,ZOTA.NS,1249.5999755859375,2026-08-12,0.034608316830562424,-0.10010082273071275,-0.18358813830009946,0.04764171382734128,-0.033366122708469226,34,False
CARRARO,Carraro India Limited,,CARRARO.NS,518.0,2026-08-12,-0.09130776056059198,-0.09740376726963029,0.02462666898951582,0.0873397023717819,-0.0336105834059033,34,False
MGL,Mahanagar Gas Limited,,MGL.NS,1117.9000244140625,2026-08-12,0.027859552692432787,-0.043637754277781715,-0.067017704362213,-0.11425861071920906,-0.03383899279486764,34,False
STYRENIX,Styrenix Performance Materials Limited,,STYRENIX.NS,2215.5,2026-08-12,-0.045416489900474755,0.12506029972636856,-0.02333202783583277,-0.18488773923918267,-0.03479848942991928,34,False
PATELENG,Patel Engineering Limited,,PATELENG.NS,29.190000534057617,2026-08-12,0.1115765529184285,-0.043891258514580866,-0.16241027798800267,-0.19230766388948817,-0.035091218911042936,34,False
ASTRAL,Astral Limited,,ASTRAL.NS,1464.0,2026-08-12,-0.05597114140776316,-0.04451112997341733,-0.05900504303060761,0.03676660517402652,-0.03573837012910495,34,False
FSL,Firstsource Solutions Limited,,FSL.NS,274.5,2026-08-12,0.15530300062537905,-0.04285592521545756,-0.2056328012627473,-0.24160862191017696,-0.03589826942752474,34,False
PNBGILTS,PNB Gilts Limited,,PNBGILTS.NS,80.41000366210938,2026-08-12,0.06729503013884397,-0.024623953410720545,-0.07680820814249989,-0.21584922758600678,-0.03653826577230786,34,False
DLINKINDIA,D-Link (India) Limited,,DLINKINDIA.NS,425.95001220703125,2026-08-12,-0.07153962247282375,0.09107081911863091,0.0020934248453443605,-0.13290851584821772,-0.03656470336597799,33,False
AAVAS,Aavas Financiers Limited,,AAVAS.NS,1416.199951171875,2026-08-12,0.022748610609353737,0.054426309965531106,-0.12537055714032186,-0.15832641642663348,-0.03675468847654335,33,False
CESC,CESC Limited,,CESC.NS,162.42999267578125,2026-08-12,-0.09806210240004176,0.05030713925863095,-0.050672198237614374,0.012332660981633436,-0.03683132055948671,33,False
JKTYRE,JK Tyre & Industries Limited,,JKTYRE.NS,386.5,2026-08-12,0.03263815846334239,-0.3170841971672288,-0.1379290910214651,0.20341807574080328,-0.03726377910424118,33,False
FORTIS,Fortis Healthcare Limited,,FORTIS.NS,900.0,2026-08-12,-0.06506022079658957,0.010208894751751796,-0.08708609056269923,0.019179563768807917,-0.03756361472706373,33,False
ARKADE,Arkade Developers Limited,,ARKADE.NS,129.66000366210938,2026-08-12,0.13497904487645473,0.03322978619273509,-0.22591042589785448,-0.26596465064465014,-0.037737440119372016,33,False
GMMPFAUDLR,GMM Pfaudler Limited,,GMMPFAUDLR.NS,997.2999877929688,2026-08-12,0.11377787756936053,0.019711865437020304,-0.19804348237932656,-0.23838279193714418,-0.03783173074814588,33,False
INDIACEM,The India Cements Limited,,INDIACEM.NS,384.79998779296875,2026-08-12,-0.03836063060764794,-0.17327322440414827,-0.015353122281003162,0.07501040556022676,-0.03806744046804411,33,False
SPANDANA,Spandana Sphoorty Financial Limited,,SPANDANA.NS,244.6999969482422,2026-08-12,-0.06388675339776584,-0.08128405728986265,0.05044000924632197,-0.03357030056259247,-0.03843757108033297,33,False
SHREECEM,SHREE CEMENT LIMITED,,SHREECEM.NS,25570.0,2026-08-12,0.026690595886992075,-0.033498058519558116,-0.0517305694017558,-0.16134026024009207,-0.03863753927748437,33,False
NACLIND,NACL Industries Limited,,NACLIND.NS,171.27000427246094,2026-08-12,0.059970307783125065,0.18133542088336574,-0.05018856856791121,-0.44689162716497166,-0.03916083185665341,32,False
EMSLIMITED,EMS Limited,,EMSLIMITED.NS,382.0,2026-08-12,0.17665180096014987,0.019346230820546984,-0.21817438553394364,-0.3504342624139768,-0.03919176304141475,32,False
DMART,Avenue Supermarts Limited,,DMART.NS,4040.0,2026-08-12,-0.07311817308638058,0.009444817672604522,-0.007907261813754674,-0.05242171924475192,-0.039424101911732644,32,False
POWERMECH,Power Mech Projects Limited,,POWERMECH.NS,2407.0,2026-08-12,-0.01392871773863169,0.06105355962089476,0.004632955510950776,-0.23497959081057274,-0.03943010223119812,32,False
IOC,Indian Oil Corporation Limited,,IOC.NS,140.60000610351562,2026-08-12,0.045508704420067936,-0.20109601782732667,-0.14906252334699144,0.05816449091529008,-0.040195328283778434,32,False
SANOFICONR,Sanofi Consumer Healthcare India Limited,,SANOFICONR.NS,4478.5,2026-08-12,-0.06593130395711666,0.06305249193493623,-0.01282545687925396,-0.12222142682964643,-0.0407713999376395,32,False
BDL,Bharat Dynamics Limited,,BDL.NS,1340.0,2026-08-12,0.011015523854688292,0.03076923076923066,-0.1230135989742629,-0.14201906987297563,-0.04244647807372626,32,False
UCOBANK,UCO Bank,,UCOBANK.NS,26.170000076293945,2026-08-12,0.038904308116680664,-0.08504144035742067,-0.15372154262223625,-0.05447775614231043,-0.0430864245777212,32,False
JIOFIN,Jio Financial Services Limited,,JIOFIN.NS,256.04998779296875,2026-08-12,0.1012169862792911,-0.050149396138013835,-0.1582498128941513,-0.2102923282196163,-0.04325151293863985,32,False
ANUHPHR,Anuh Pharma Limited,,ANUHPHR.NS,77.18000030517578,2026-08-12,0.0007315450330021012,-0.05106791404457689,-0.03547351830964163,-0.13432855106823316,-0.043881378671289495,32,False
